Genus,Sample,Samples_type,pilot,granule_type,year,mean_abundance
Candidatus_Accumulibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.00484195667193695
Tahibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.00484195667193695
Aeromonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.004655727569170144
Staphylococcus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.004655727569170144
Enterococcus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.004469498466403339
Genus of Rickettsiales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.004283269363636533
Cerasicoccus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0040970402608697274
Genus of Zavarziniales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0040970402608697274
Janthinobacterium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0040970402608697274
Paludibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0040970402608697274
NS11-12_marine_group,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.004097040260869727
Candidatus_Collierbacteria,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0039108111581029215
